stk_code,sector,industry,mkt_cap,mkt_cap_gp
A,Industrials,Electrical Products,45668950000.0,large
AA,Industrials,Metal Fabrications,8050641008.0,medium
AAC,Finance,Business Services,1257500000.0,small
AACG,Consumer Discretionary,Service to the Health Industry,42986380.0,nano
AACI,Industrials,Consumer Electronics/Appliances,207467771.0,micro
AACIW,Industrials,Consumer Electronics/Appliances,0.0,nano
AADI,Health Care,Biotechnology: Pharmaceutical Preparations,320063935.0,small
AAIC,Real Estate,Real Estate Investment Trusts,84532700.0,micro
AAIN,Finance,Finance/Investors Services,0.0,nano
AAL,Consumer Discretionary,Air Freight/Delivery Services,8676176841.0,medium
AAMC,Finance,Investment Managers,37319528.0,nano
AAME,Finance,Life Insurance,49085022.0,nano
AAN,Consumer Discretionary,Diversified Commercial Services,378599879.0,small
AAOI,Technology,Semiconductors,60755521.0,micro
AAON,Industrials,Industrial Machinery/Components,4243727066.0,medium
AAP,Consumer Discretionary,Auto & Home Supply Stores,8500538097.0,medium
AAPL,Technology,Computer Manufacturing,2482880461400.0,mega
AAQC,Industrials,Consumer Electronics/Appliances,505750000.0,small
AAT,Real Estate,Real Estate Investment Trusts,1669365412.0,small
AATC,Industrials,Industrial Machinery/Components,27092612.0,nano
AAU,,,33097804.0,nano
AAWW,Consumer Discretionary,Transportation Services,2853438319.0,medium
AB,Finance,Investment Managers,3939736967.0,medium
ABB,Energy,Electrical Products,59456250000.0,large
ABBV,Health Care,Other Pharmaceuticals,291551696549.0,mega
ABC,Health Care,Other Pharmaceuticals,33597733342.0,large
ABCB,Finance,Major Banks,3310850588.0,medium
ABCL,Health Care,Pharmaceuticals and Biotechnology,2898197326.0,medium
ABCM,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),3645423321.0,medium
ABEO,Health Care,Biotechnology: Pharmaceutical Preparations,51012123.0,micro
ABEV,Consumer Staples,Beverages (Production/Distribution),44863508948.0,large
ABG,Consumer Discretionary,Other Specialty Stores,3926625642.0,medium
ABGI,Finance,Business Services,194098802.0,micro
ABIO,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,32855126.0,nano
